Population1,Population2,Lower bound CI limit,Upper bound CI limit,p-value,Fst,Comparison,Levels
3K,4RS,-3.793820681833422e-4,1.4706473959224378e-4,0.8148148148148148,-1.1361441704234364e-4,4RS-3K,Intra-Canada
3K,4T,-2.722557666864052e-4,1.3157274757162883e-4,0.7647647647647647,-6.706640300707685e-5,4T-3K,Intra-Canada
3K,4WX,-1.5755602730864457e-4,5.338335527320297e-4,0.12912912912912913,2.2727152302594322e-4,4WX-3K,Intra-Canada
3K,3Ps4Vn,-2.438780864765216e-4,0.00048810721423740803,0.2552552552552553,1.1600415207336915e-4,3Ps4Vn-3K,Intra-Canada
3K,6AB,1.3362072180427197e-5,5.645276364908537e-4,0.016016016016016016,2.8574923829979756e-4,6AB-3K,Inter-Country
3K,5YZe,2.989778137918262e-4,8.031832399369531e-4,0,5.554669199418205e-4,5YZe-3K,Inter-Country
3K,5Zw,4.991518265735134e-4,0.001391730137801392,0,9.454168603440731e-4,5Zw-3K,Inter-Country
4RS,4T,4.700807873719165e-6,3.0242926630393393e-4,0.02002002002002002,1.5245785189604909e-4,4T-4RS,Intra-Canada
4RS,4WX,-1.5005233712090676e-4,5.197532703801721e-4,0.13913913913913914,1.7835968831128382e-4,4WX-4RS,Intra-Canada
4RS,3Ps4Vn,-1.550306643658783e-4,4.451579385816868e-4,0.16216216216216217,1.491700143838966e-4,3Ps4Vn-4RS,Intra-Canada
4RS,6AB,-6.659005392526844e-5,3.7894502860287e-4,0.10710710710710711,1.4978969994649063e-4,6AB-4RS,Inter-Country
4RS,5YZe,2.1592620898577058e-4,6.279418187947488e-4,0,4.3252277688917416e-4,5YZe-4RS,Inter-Country
4RS,5Zw,2.9153430744601735e-4,0.001051786015576062,0,6.783320200495863e-4,5Zw-4RS,Inter-Country
4T,4WX,-1.1157032163284509e-4,3.908955978243441e-4,0.11711711711711711,1.4851919871221252e-4,4WX-4T,Intra-Canada
4T,3Ps4Vn,1.1684759070830491e-6,5.13170009368795e-4,0.023023023023023025,2.631186341389982e-4,3Ps4Vn-4T,Intra-Canada
4T,6AB,-6.309968625266654e-5,3.015498708400149e-4,0.08608608608608609,1.258398090064673e-4,6AB-4T,Inter-Country
4T,5YZe,4.310391906765874e-4,7.444783617875734e-4,0,5.871499411964323e-4,5YZe-4T,Inter-Country
4T,5Zw,1.8632384231380387e-4,8.631910044034992e-4,0.003003003003003003,5.212207263529904e-4,5Zw-4T,Inter-Country
4WX,3Ps4Vn,-2.15584254789146e-4,6.467594683979769e-4,0.15915915915915915,2.2254889066052058e-4,4WX-3Ps4Vn,Intra-Canada
4WX,6AB,2.2358009461553722e-4,9.015617925956738e-4,0,5.69092267812702e-4,6AB-4WX,Inter-Country
4WX,5YZe,6.615273634243641e-4,0.0013055562427976054,0,9.842145405140781e-4,5YZe-4WX,Inter-Country
4WX,5Zw,6.205681439602675e-4,0.001684966601953656,0,0.0011679116936849543,5Zw-4WX,Inter-Country
3Ps4Vn,6AB,-1.2294183947347877e-4,5.162600558103653e-4,0.12212212212212212,1.8982108735015417e-4,6AB-3Ps4Vn,Inter-Country
3Ps4Vn,5YZe,4.3210034822820423e-4,0.0010548951860450961,0,7.216436556842295e-4,5YZe-3Ps4Vn,Inter-Country
3Ps4Vn,5Zw,1.437831211594526e-4,0.0011397091357488458,0.005005005005005005,6.398485822675386e-4,5Zw-3Ps4Vn,Inter-Country
6AB,5YZe,1.5152168956595626e-4,5.833769220006958e-4,0.001001001001001001,3.71593037171112e-4,6AB-5YZe,Intra-US
6AB,5Zw,-1.747704684298861e-5,8.22922442750188e-4,0.02702702702702703,4.133038301428126e-4,6AB-5Zw,Intra-US
5YZe,5Zw,5.327150473877411e-4,0.001319789492882141,0,9.275217199154438e-4,5Zw-5YZe,Intra-US
